"recording_id","total_time","species","min_frequency","max_frequency","min_code_n_ind","detected_by_BirdNET","total_detections","proportion_of_time_detected","mean_BirdNET_confidence"
"129","16.701846","Turdus merula","1110.712524","3227.010498","1","FALSE","0","0",NA
"129","63.588053","Phylloscopus collybita","2359.189941","8479.335938","4","TRUE","26","0.883703012576907","0.349179234307692"
"129","6.631985","Sylvia communis","1833.096069","6018.026367","1","FALSE","0","0",NA
"129","10.691871","Phylloscopus bonelli","2101.632324","4493.23584","1","TRUE","3","0.510786185130741","0.172508576666667"
"129","4.51378499999999","Corvus corone","260.43161","2727.127197","1","FALSE","0","0",NA
"129","19.753064","Cuculus canorus","389.345947","992.831116","1","FALSE","0","0",NA
"130","12.77645","Emberiza calandra","2885.830078","10609.029297","1","FALSE","0","0",NA
"130","13.255566","Sylvia atricapilla","1794.954834","4841.432617","1","FALSE","0","0",NA
"130","5.219852","Turdus merula","1620.369873","2885.830078","1","FALSE","0","0",NA
"130","2.967163","Luscinia megarhynchos","1648.595337","4391.734863","1","FALSE","0","0",NA
"130","0.806933999999998","Sylvia communis","2675.477051","6024.137695","1","FALSE","0","0",NA
"130","0.890990000000002","Chloris chloris","2634.911133","3757.64917","1","FALSE","0","0",NA
"131","13.877577","Luscinia megarhynchos","1020.590088","3421.89917","1","TRUE","2","0.110365447801154","0.33694754"
"131","0.773311","Otus scops","495.599701","1574.474243","1","FALSE","0","0",NA
"132","55.199305","Alauda arvensis","986.143555","6965.293457","4","TRUE","1","0.0543485103662084","0.10021143"
"132","21.392148","Cisticola juncidis","5681.788086","9341.853516","1","FALSE","0","0",NA
"132","10.254781","Emberiza calandra","2084.259766","19801.308594","1","TRUE","1","0.138655715807095","0.11676984"
"132","4.740734","Pica pica","1709.231079","4218.652832","1","FALSE","0","0",NA
"132","6.556337","Sylvia communis","2111.243652","6534.294922","1","FALSE","0","0",NA
"132","3.337008","Turdus merula","1551.941772","2644.22876","1","FALSE","0","0",NA
"132","2.219067","Sylvia atricapilla","2425.897705","3809.697021","4","FALSE","0","0",NA
"132","4.001046","Luscinia megarhynchos","1852.765747","4562.199707","4","FALSE","0","0",NA
"134","48.121825","Sylvia atricapilla","1666.061157","6103.177734","4","TRUE","13","0.724492576912867","0.29740391"
"134","3.042812","Poecile palustris","3792.766602","11857.801758","1","FALSE","0","0",NA
"134","8.540047","Turdus merula","1134.213501","4144.813965","1","FALSE","0","0",NA
"134","2.126607","Prunella modularis","1666.061157","7361.750488","4","FALSE","0","0",NA
"134","1.017073","Turdus viscivorus","1827.515503","3667.446533","1","FALSE","0","0",NA
"136","2.235879","Luscinia megarhynchos","1785.547852","3275.904785","1","FALSE","0","0",NA
"137","18.878886","Fringilla coelebs","1094.915771","9532.907227","1","TRUE","4","0.36477888578807","0.1380433775"
"137","28.999178","Phylloscopus collybita","2645.199951","7440.975586","4","TRUE","3","0.310353624506184","0.289748203333333"
"137","8.691348","Cuculus canorus","339.378021","912.711975","1","TRUE","1","0.339767893311831","0.101443164"
"137","13.0034","Turdus merula","1212.641846","3010.185303","1","FALSE","0","0",NA
"137","10.708683","Regulus ignicapilla","6252.906738","9383.288086","1","FALSE","0","0",NA
"137","9.89334300000001","Certhia brachydactyla","2910.186523","8903.055664","4","TRUE","4","0.472908500190481","0.21562232"
"137","1.681111","Streptopelia decaocto","436.054047","900.968384","1","FALSE","0","0",NA
"137","7.49775899999999","Oriolus oriolus","880.756165","2870.223145","1","TRUE","4","0.399103252051713","0.29769001"
"137","3.496712","Lullula arborea","2245.737549","4750.020508","1","FALSE","0","0",NA
"137","7.69108600000001","Erithacus rubecula","1894.560181","9913.755859","4","FALSE","0","0",NA
"137","0.874178000000001","Dendrocopos major","1094.915771","6939.885742","4","FALSE","0","0",NA
"137","0.6052","Columba oenas","238.923447","692.148865","1","FALSE","0","0",NA
"137","3.404252","Picus viridis","1164.6521","2283.739258","4","FALSE","0","0",NA
"137","9.784071","Parus major","3255.754639","5990.616211","4","FALSE","0","0",NA
"138","50.290458","Phylloscopus collybita","2222.345215","10356.256836","4","TRUE","10","0.591854701343146","0.307750415"
"138","11.944299","Turdus merula","1460.937988","4248.508789","1","FALSE","0","0",NA
"138","5.404774","Erithacus rubecula","1989.14502","6696.754883","4","FALSE","0","0",NA
"138","10.506949","Regulus ignicapilla","5829.280273","9495.386719","1","TRUE","2","0.206698633447255","0.7619384"
"138","7.10269599999999","Sylvia atricapilla","1847.95752","5106.863281","1","FALSE","0","0",NA
"138","1.403728","Certhia brachydactyla","4502.854004","8066.300293","1","FALSE","0","0",NA
"138","0.512738999999996","Cuculus canorus","418.00238","919.682739","1","FALSE","0","0",NA
"138","2.27790700000001","Troglodytes troglodytes","3155.87085","7450.38623","1","FALSE","0","0",NA
"138","1.756762","Fringilla coelebs","2026.677368","6012.812012","4","FALSE","0","0",NA
"139","51.710999","Sylvia atricapilla","1462.586914","4724.575195","4","TRUE","1","0.0580147368647819","0.29479983"
"139","6.56474099999998","Turdus merula","1443.488281","4117.155762","1","FALSE","0","0",NA
"139","1.445756","Emberiza calandra","2886.239258","4363.040527","4","FALSE","0","0",NA
"140","31.260275","Luscinia megarhynchos","937.551514","3832.807617","1","TRUE","5","0.221572107091188","0.23200282"
"141","59.982068","Sylvia atricapilla","2006.900269","10141.383789","4","TRUE","6","0.300089686804396","0.418668425"
"141","59.965257","Merops apiaster","1025.390991","2470.963867","4","TRUE","9","0.449681337978757","0.739583222222222"
"141","3.252951","Corvus corone","273.737823","1345.938477","1","FALSE","0","0",NA
"141","11.792998","Emberiza calandra","4561.819824","8898.954102","1","FALSE","0","0",NA
"141","7.90963199999999","Emberiza citrinella","3813.228027","7395.036621","1","FALSE","0","0",NA
"141","21.417364","Streptopelia decaocto","285.662231","702.89209","1","FALSE","0","0",NA
"141","1.185184","Turdus merula","1345.938477","2357.263916","4","FALSE","0","0",NA
"141","1.462567","Luscinia megarhynchos","1201.849243","4335.725586","1","FALSE","0","0",NA
"141","1.437351","Sylvia communis","1248.714722","6210.348633","4","FALSE","0","0",NA
"141","1.857628","Alectoris rufa","413.240112","1370.993164","4","FALSE","0","0",NA
"141","0.327817000000003","Oriolus oriolus","1111.4729","2176.753174","4","FALSE","0","0",NA
"143","19.568139","Sylvia atricapilla","1158.537231","9720.427734","1","FALSE","0","0",NA
"143","33.840779","Streptopelia turtur","386.338379","741.13678","1","FALSE","0","0",NA
"143","9.943776","Luscinia megarhynchos","983.49646","7154.986816","1","FALSE","0","0",NA
"143","3.715257","Corvus corone","642.827271","1410.591675","2","FALSE","0","0",NA
"143","2.958758","Cyanistes caeruleus","3891.340088","9147.762695","1","FALSE","0","0",NA
"143","5.81664700000001","Parus major","3175.211182","9287.910156","1","FALSE","0","0",NA
"143","1.092723","Sylvia communis","1630.039429","5390.873535","1","FALSE","0","0",NA
"144","19.273945","Luscinia megarhynchos","1033.28418","8420.579102","1","TRUE","6","0.415484790477507","0.227614531666667"
"144","17.668485","Erithacus rubecula","3020.617188","9896.764648","1","TRUE","5","0.574798574976858","0.43317049"
"144","9.59915","Emberiza cirlus","3133.836426","5203.869629","1","TRUE","2","0.217162873796117","0.57931718"
"144","15.247684","Phylloscopus collybita","2725.072021","8420.579102","1","FALSE","0","0",NA
"144","1.555028","Cyanistes caeruleus","4409.816895","8648.390625","1","FALSE","0","0",NA
"144","11.986327","Dendrocoptes medius","736.296082","8937.979492","1","TRUE","2","0.500570358208983","0.6250951"
"144","6.842124","Streptopelia decaocto","360.338593","736.296082","1","FALSE","0","0",NA
"144","6.052001","Sylvia atricapilla","1327.758057","3939.478027","1","FALSE","0","0",NA
"144","2.958757","Sitta europaea","1590.021362","7780.03125","4","FALSE","0","0",NA
"144","10.397677","Turdus merula","1327.758057","3813.228027","1","FALSE","0","0",NA
"144","19.937985","Streptopelia turtur","420.490265","817.775574","1","FALSE","0","0",NA
"145","49.634826","Luscinia megarhynchos","1237.359375","7784.445801","1","TRUE","7","0.402409247893807","0.449410472857143"
"146","3.00919","Corvus corone","411.311218","3368.482666","1","TRUE","1","0.403649819386612","0.16366914"
"146","0.622012","Oriolus oriolus","949.548767","2200.061279","1","FALSE","0","0",NA
"146","7.127915","Saxicola rubicola","1446.436768","7232.292969","1","FALSE","0","0",NA
"146","16.121862","Luscinia megarhynchos","1571.026978","6657.436035","4","TRUE","5","0.356857849298053","0.306288256"
"146","34.799016","Sylvia atricapilla","1818.527588","6726.953125","1","TRUE","1","0.0757906487930578","0.18095434"
"146","2.437612","Sylvia communis","2040.961792","7158.051758","4","FALSE","0","0",NA
"147","11.347504","Sylvia atricapilla","2093.253906","5483.265137","1","FALSE","0","0",NA
"147","16.567356","Sylvia communis","1888.320312","6740.213867","1","TRUE","1","0.0538406973327549","0.28654763"
"147","1.99211700000001","Oriolus oriolus","956.496338","2380.760742","1","TRUE","1","0.194093017628985","0.10775505"
"147","13.121076","Turdus merula","1250.307129","3760.596436","1","FALSE","0","0",NA
"147","0.655632999999998","Phasianus colchicus","753.6521","1250.307129","1","FALSE","0","0",NA
